Constelltion Name, Translation
Andromeda,The Chained Maiden
Antlia,The Air Pump
Apus,The Bird of Paradise
Aquarius,The Water Bearer
Aquila,The Eagle
Ara,The Altar
Aries,The Ram
Auriga,The Charioteer
Bootes,The Herdsman
Caelum,The Chisel
Camelopardalis,The Giraffe
Cancer,The Crab
Canes Venatici,The Hunting Dogs
Canis Major,The Greater Dog
Canis Minor,The Lesser Dog
Capricornus,The Sea Goat
Carina,The Keel
Cassiopeia,The Seated Queen
Centaurus,The Centaur
Cepheus,The King
Cetus,The Whale
Chamaeleon,The Chameleon
Circinus,The Compass
Columba,The Dove
Coma Berenices,Berenice's Hair
Corona Australis,The Southern Crown
Corona Borealis,The Northern Crown
Corvus,The Crow
Crater,The Cup
Crux,The Southern Cross
Cygnus,The Swan
Delphinus,The Dolphin
Dorado,The Dolphinfish
Draco,The Dragon
Equuleus,The Little Horse
Eridanus,The River
Fornax,The Furnace
Gemini,The Twins
Grus,The Crane
Hercules,The Hero
Horologium,The Clock
Hydra,The Water Snake
Hydrus,The Lesser Water Snake
Indus,The Indian
Lacerta,The Lizard
Leo,The Lion
Leo Minor,The Lesser Lion
Lepus,The Hare
Libra,The Scales
Lupus,The Wolf
Lynx,The Lynx
Lyra,The Lyre
Mensa,The Table Mountain
Microscopium,The Microscope
Monoceros,The Unicorn
Musca,The Fly
Norma,The Carpenter's Square
Octans,The Octant
Ophiuchus,The Serpent Bearer
Orion,The Hunter
Pavo,The Peacock
Pegasus,The Winged Horse
Perseus,The Hero
Phoenix,The Phoenix
Pictor,The Painter's Easel
Pisces,The Fish
Piscis Austrinus,The Southern Fish
Puppis,The Stern
Pyxis,The Compass
Reticulum,The Net
Sagitta,The Arrow
Sagittarius,The Archer
Scorpius,The Scorpion
Sculptor,The Sculptor
Scutum,The Shield
Serpens,The Serpent
Sextans,The Sextant
Taurus,The Bull
Telescopium,The Telescope
Triangulum,The Triangle
Triangulum Australe,The Southern Triangle
Tucana,The Toucan
Ursa Major,The Great Bear
Ursa Minor,The Little Bear
Vela,The Sails
Virgo,The Virgin
Volans,The Flying Fish
Vulpecula,The Little Fox