"SUFFIX","MEANING","EXAMPLES"
"able","capable of, able to","solvable"
"ible","capable of","audible"
"ase","forms names of enzymes","amylase, lipase"
"cide","to kill, a killer","bactericidal, herbicide"
"cyte","cell","erythrocyte, adipocyte"
"ectomy","surgical removal of","appendectomy"
"emia","condition of the blood","anemia"
"genic","giving rise to, producing, forming","carcinogenic"
"itis","inflammation","arthritis"
"logy","the study of","biology, histology, neurology"
"lysis","disintegration, break down, dissolve","analysis, dialysis"
"lyso","disintegration, break down, dissolve","photolysis, lysosome"
"ose","forms names of sugars","fructose, lactose, glucose"
"phage","taking over, eating","bacteriophage"
"philia","fondness for","thermophilic"
"phobia","fear of","arachnophobia"
"phyll","leaf","chlorophyll"
"plasm","jelly, formative substance","cytoplasm"
"pod","foot","arthropod, pseudopod"
"synthesis","putting together, making","photosynthesis"
"troph","food, nutrition","autotroph, heterotroph"
"vor","devour, eat","carnivore, omnivore" 